店铺名称,类别,评分,所在区,所属片区,纬度,经度,详细地址,优惠套餐情况,营业时间,联系电话,累计售出份数,餐厅简介,特色菜
圣琼美食百汇(禅城店),自助餐,3.8,禅城,东方广场,23.03833,113.11945,禅城区永安路东方广场蓝宝石城3楼（味国厨房旁）,单人午餐49.8元，单人晚餐59.8元;,周一至周日 10:00-22:00,0757-82256234,262532,,"火锅烤肉,烤生蚝,水果,牛羊肉,鲜肥牛,肥牛肥羊,广式点心,水果蛋糕,炭烤生蚝,不错,吞拿鱼寿司,冰激凌,烧烤串,鸳鸯汤底,羊肉卷,清汤火锅,巧克力塔,热菜,特色小吃,蟹脚,小螃蟹,鱼子酱寿司,小点心,猪仔包,花螺,烧烤,鸡尾酒初恋滋味,寿司蛋糕,大螃蟹,铁板烧,榴莲冰淇淋,火锅汤底,三文鱼刺身,烤肉料,炒花甲,火锅菜,蓝莓汁,冰淇淋蛋糕,鸳鸯锅,火锅肉,乌鸡汤,山药泥,水果寿司,梅菜扣肉,羊肉串,烤肉串,香芋派,巧克力喷泉,冰虾,鲜虾,锅底,辣白菜,鲜鱿鱼,冰淇淋鸡尾酒,烤鸡腿,酸萝卜,牛羊肉卷,豆浆,火龙果,烤羊肉串,打边炉,大鱼头,牛肉卷,炸鸡块,手撕鸡,大骨汤,麻辣火锅,奥尔良鸡翅,肥牛卷,炒饭,濑尿虾,冰糖葫芦,烤羊肉烤生蚝,西瓜,鲜羊肉,炸鸡柳,包子,熟食花甲,橘子方块,清汤锅底,椒盐大虾,荷包蛋,煎豆腐,冷饮,肥牛肉,牛肉丸,羊肉卷牛肉卷,蛏子,巧克力奶茶,养生汤,烤生蚝芝士披萨,煎牛扒,圣女果,包心丸,小番茄,火锅菜品,烤鱼,榴莲蛋糕,蟹腿,哈密瓜,水果披萨,烤蚝,蘸料,思乐冰,贝类,选择多,瓶装饮料,皇帝菜,鱿鱼筒,南瓜粥,皮蛋瘦肉粥,烧烤羊肉,朱古力奶茶,桂花鱼,火锅烤肉巧克力瀑布,冰激凌牛羊肉,乌鸡片,辣白菜鲜肥牛,烤鸭,肥牛片,猪排,螃蟹腿,棉花糖,烤金针菇,慕斯蛋糕,蓝莓冰沙,赖尿虾,榴莲酥,麻辣锅,猪肉卷,羊肉火锅,炸薯条,羊肉片,秘制烤肉酱,BBQ,红枣豆浆,奶油蛋糕,番茄锅,爆米花,烤翅,五花肉,可乐,吞拿鱼沙拉,干蒸,番茄汤底,糯米团,白开水,百叶,巴西烧烤,朱古力雪糕,榴莲冰激凌,草莓汁,紫薯山药,八爪鱼寿司,蔬菜沙拉,水果冰淇淋,花贝,黄金咖喱,小笼包,肉丸,小蛋糕,时蔬,生菜包,蛋炒饭,玉米汤,芒果,木瓜刨冰,鸡排,毛蟹,清汤底,素菜,青瓜,麻辣锅底,香芋奶茶,点心种类,羊肉肥牛,金针菇，鱼皮,煎鱼,火锅加料,炖汤,棉花糖巧克力,咕噜肉,糖醋鱼,牛肉卷羊肉卷,带子,乌鸡肉,长脚蟹脚,长脚蟹腿,鸡尾酒果汁,杂菜沙拉,烧肉,热狗,日料,长脚蟹,牛扒猪扒,奶黄包,西冷,冻虾,白粥,刀鱼,老火靓汤,青菜,豆腐干,烤盘,鱼蛋,米饭,水果冰淇淋蛋糕,煎鸡蛋,烤羊肉串牛肉串,西瓜哈密瓜,烤花甲,葡萄香蕉,雪糕球,肉丸玉米,烤面包,酸梅汤,牛羊肉片,麻辣烫,甜虾,骨头"
亿烤天下自助美食汇(南海新都会店),自助餐,3.7,,大沥,23.11061,113.12394,大沥大沥金贸大道2号南海新都会购物广场4层,单人午餐42.9元，单人晚餐52.9元;,,0757-85571760,164137,,"菜,菜品,火锅,烧生蚝,烤鸡翅,寿司,烤牛肉,饮料,小点心,烤肉火锅,烤牛排,培根肉,鸡扒,烤生蚝,甜点,黑椒牛仔骨,西瓜,冰淇淋,麻辣锅底,肉类,羊肉卷,大虾,寿司鱼生,海鲜生蚝,牛扒,鸡排,碳烤生蚝,牛肉卷,麻辣汤底,花蟹,菜品很多,麻辣烫,水果寿司,烤鱼片,濑尿虾,黑椒牛排,牛排骨,烤鱼,猪扒,黑椒,煎鸡扒,烧肉,可乐,火窝,甜品,花甲,生菜,烤鸡肉,绿豆汤,肉丸子,蛋挞,日本寿司,西瓜哈密瓜,乌鸡卷,冷饮,奥尔良烤翅,清酒,骨头,烤肥牛肉,菠萝啤,白贝,水果沙律,蛋,素菜,苹果,自选,差劲,拌菜,烧卖,肉酱,凤爪,黑胡椒汁,圣女果,罗汉果茶,木瓜,豆泡,大螃蟹,排骨,炒鸡,里脊肉,炸香蕉炸薯条,烫青菜,炭烧生蚝,凉拌青瓜,粉丝,老火汤,饺子,爆米花热狗,葡萄,香辣虾,紫菜卷,酸梅汤,苹果汁,烤鱿鱼片,牛仔肉鸡排,奶冻,肥牛卷,烤蚝,八爪鱼,咖喱鱼蛋,酸萝卜,煎肉,田螺,香菇……等等,好吃牛肉,(ᵒ̤̑₀̑ᵒ̤̑)哦,金针菇 肥牛 水果,点心不错,猪肉,感觉还行！,，，，，,烤肉，好吃,看图说话呀，真的好多东西吃呀,西瓜子,煎饺,可口可乐,蟹柳寿司,煮海鲜,寿司冷饮,榴莲,浓汤,椰奶,蒸饺,糖水,鸭脖,丸子,鸡皮,咖啡奶茶,赖尿虾,生菜包烤羊肉,煎鸡排,烤鱿鱼须,酸梅汁,巧克力,煎蛋,凉菜腐竹,金针菇肥牛卷,烤培根,香芋奶茶,夫妻肺片,小蛋糕,烧腊,扇贝,鸡翅膀,肥羊卷,荔枝,生鱼片,果醋,日式寿司,八爪鱼寿司,冷面,韩式烤肉,鸡翼,小面包,剁椒鱼头,牛丸鱼蛋,哈密瓜,牛羊肉卷,冰激凌,香辣牛肉,生菜包烤肉,蒜蓉生蚝,凉拌海带,凉茶,冻虾,毛血旺,干炒牛河,日本豆腐,包子,炒粉,橙汁,哈根达斯,黑椒牛肉,绿豆糕,毛肚,鹅肠,藕片,担担面,麻辣小龙虾,蒜泥白肉"
和善素(南区店),素食,4.9,顺德,容桂,22.748312,113.290857,顺德区容桂新容中路2号,单人午/晚餐22元;,周一至周日 09:00-21:00,0757-26612008,152489,,"素食,蔬菜沙拉,水果沙拉,炒饭,自助餐,凉拌青瓜,西兰花炒叉烧,寿司,各式甜品,红烧豆腐,煎饺子,蒸笼包,现磨豆浆,素粉,点心多吧,好吃喜欢,奶黄包,芒果布丁,很丰富的菜品,绿豆沙,烫青菜,主食不错,冰淇淋,海带结,桂花糕,西瓜汁,紫菜包饭,素叉烧,凉粉,麻辣烫,煎豆腐,蛋糕,酸,北极贝,蜂蜜柚子茶,冰激凌,椰汁糕,火龙果,芒果,豆腐干,糯米糍,霸王花煲红萝卜,布丁,味道不错，他们都吃光了,新款，喜欢,食物新鲜、口感好,苦瓜,炸春卷,红枣黑米粥,椰汁西米露,鲜榨西瓜汁,水果盘,小面包,豆沙包,煮花生,自磨豆浆,酱萝卜,香煎豆腐,拔丝香芋"
煌家壹品贡茶,奶茶/果汁,4.1,,大沥,23.110381,113.123899,大沥广佛路新都会广场一楼,27.8元双人餐;8.9代10元，10.9代15元;,周一至周日 08:30-22:30,18824894330,127292,,"贡茶,抹茶奶盖,珍珠奶茶,奶盖茶,奶盖,珍珠奶盖,红豆抹茶奶盖,格雷三兄弟,熊猫奶茶,鲷鱼烧,原味奶盖,红豆奶茶,抹茶奶盖茶,金砖奶茶,熊猫果茶,焦糖冻奶盖茶,珍珠抹茶奶盖,熊猫乌龙奶盖,焦糖冻奶盖,紅豆抹茶奶蓋,格雷,焦糖奶盖,珍珠奶盖茶,香米抹茶红豆,奶蓋红茶,抹茶红豆奶盖茶,咖啡,百香果,金桔百香,乌龙奶盖,抹茶奶茶,原味奶茶,珍珠格雷奶盖,珍珠绿茶奶盖,仙草奶冻,抹茶红豆奶蓋,芒果欧雷,金鑽奶茶,奶盖抹茶,卡布奇诺,柠檬益力多,特浓咖啡,意大利咖啡,抹茶珍珠奶盖红茶,寒天奇异果茶,抹茶奶盖红茶,招牌柠檬茶,抹茶红豆奶茶,红豆糕,奶茶大满贯,熊猫奶盖绿茶,净奶茶,抹茶奶盖绿茶,果冻奶茶,西瓜汁,钵仔糕,雪盐乌龙,金牌奶盖茶,珍珠抹茶奶盖茶,抹香红豆奶茶,双拼披萨,浓香可可,金桔柠檬,绿茶奶盖,格雷奶盖奶茶,鸡蛋仔,港式奶茶,珍珠抹茶奶蓋,抹茶奶盖，奶盖珍珠,抹茶奶盖绿,金洁,，，，,珍珠奶盖乌龙茶,仙草奶茶,红豆抹茶奶盖茶,抹茶珍珠奶盖茶,一杯红茶奶盖,招牌珍珠奶盖,柠檬芦荟,绿茶奶盖茶,乳酸菌,卡布奇洛,鲍鱼仔,珍珠红茶奶盖,车轮饼,金吉柠檬茶,奶盖奶茶,金桔柠檬茶,焦糖红茶奶盖,大满贯奶茶,红豆抹茶红豆,纯奶茶,百香果益力多,原味珍珠奶盖,鲜榨柠檬汁,冰红茶奶盖,冰淇凌,奥利奥碎,可口可乐,卡布奇諾咖啡,抹茶盖奶咖啡,绿茶红豆,抹茶香浓,青柠柚子茶,奶盖乌龙茶奶茶,菠萝包"
万岁寿司(南海万达店),日式寿司,3.8,南海,万达广场/金融城,23.06346,113.15712,南海区桂澜北路万达广场三层（汉拿山旁边）,88代100元;,周一至周日 11:00-22:00,0757-81688520,124381,,"三文鱼,三文鱼刺身,北极贝,金针菇肥牛,日式炸豆腐,刺身拼盘,香芒三文鱼加州卷,火焰蟹肉寿司,三味鱼寿司,加州焗卷,皇牌寿司拼盘,三文鱼寿司,芝士海鲜焗饭,北极贝寿司,榴莲卷,茶冷面,三文鱼焗饭,大阪海鲜烧饼,串烧拼盘,牛肉粒石烧饭,寿司船,三文鱼头煲,地狱乌冬,猪p饭,番茄海鲜面,煎三文鱼骨,一口牛柳,乌东,万岁刺身拼盘,特级雪花牛小扒,秘制酱焗帆立贝,特级前菜拼盘,深海三文鱼刺身,芝士焗三文鱼,寿司卷,三文鱼腩卷,泡菜肥牛汤,香芒三文鱼寿司,三文鱼骨,火焰蟹棒,蟹子寿司,海草蟹籽沙律,万岁担担乌冬,鸡肉饭,寿司饭团,熟扇贝寿司,石窝饭,火焰寿司,特价三文鱼腩,特价三文鱼刺身,特级雪花西冷扒,番茄牛肉饭,三文魚,蟹棒寿司,双拼饭,蟹子沙律,墨鱼仔,火烧三文鱼芝士卷,海鲜年糕火锅,海鲜汤,和风豚肉蛋卷,日式风味鱼头火锅,腐皮寿司,鳗鱼饭套餐,海鲜饼,年糕火锅,海鲜火锅,鱼皮寿司,吞拿鱼沙律,肥牛拉面,三文鱼和北极贝,面,香煎三文鱼骨,芝士卷,小卷寿司,味付螺肉,三文鱼局饭,火炙寿司,红蟹籽寿司,三文鱼剌身,青瓜卷,炒饭,挪威三文鱼刺身,干瘪小卷,腐皮,特价三文鱼骨,泡菜炒麵,海鮮飯,火焰烧黑椒虾,芝士三文鱼寿司,肥牛丼,地狱拉面,北海道乌冬,泡菜肥牛,旋转寿司,海鲜乌冬,三文鱼刺身拼盘,三文鱼赤身,天婦羅,火锅年糕,特上刺身拼盘,三文鱼泡饭,鸭胸寿司,酸汤肥牛,三文鱼沙拉,烏冬面,火焰虾,甜虾刺身,咖喱饭,三文鱼鱼生,炭烧三文鱼骨,鹅肝杯饭,青花鱼,芝士三文鱼皮,石锅牛肉饭,泡菜乌冬面,北极贝刺身,三文鱼皮寿司,肥牛火锅,芝士三文鱼饭"
超级牛自助美食百汇(新晖天地店),综合自助,3.9,顺德,大良,22.836684,113.253558,顺德区大良清晖路25号新晖天地2楼,单人午餐47元，单人午/晚餐57元;,"周一至周五 11:00-15:00 17:00-22:00  周六,周日 11:00-22:00  非营业时段 2018-02-19至2018-02-22 全天",0757-22807600/13380273489,121596,,"肥牛肥羊,寿司,海鲜,鲜虾,鸳鸯火锅,雪糕,贝壳,猪扒牛扒,其鲜生煎,番茄锅底,芝士蛋糕,小蛋糕,三文鱼寿司,肉丸,蒸点心,冰淇淋,铁板烧,花甲,鸳鸯锅,老火汤,包子,秋葵,培根,冰沙,黑椒肠,布丁,肥牛,鱿鱼,炒饭,圣女果,鱼汤,丸子,巧克力喷泉,冰激凌,肉串,巧克力手指饼,面包,豆腐脑,鱼蛋,可乐,西瓜,黑森林蛋糕,巧克力哈密瓜,中翅,巧克力蛋糕,虾子,烤虾,猪炒肠粉,炒豆角,茄酱火腿,果冻,玉米,松茸汤,可口可乐,希鲮鱼,煎鸡扒,蔬菜,香蕉,腐竹,烤肉串,炸鸡块,鸡尾酒,烤鱿鱼,牛扒猪扒,烤鸡,炒面,海鲜粥,赖尿虾,沙拉,牛扒鸡扒,花螺,鸡扒"
正新鸡排(佛山店),小吃快餐,3.1,禅城,东方广场,23.036902,113.120485,禅城区锦华路83号东方广场金山街F1号（首层）,9.5元【官方】正新鸡排尊享版单人餐，18.9元【官方】正新鸡排+肉串;,周一至周日 12:00-17:00,18042885141,102682,,"鸡排,正新鸡排,酸梅汁,烤香肠,烤肉串,大鸡排,铁板鱿鱼,梅子汁,新正鸡排,炸鸡扒,羊肉串,套餐组合,乌冬面,炸鸡翅,烤大肉串,炒鱿鱼,还不错,朱古力,鸡排酥,菜炒饭,雪梨汤,脆皮鸡,麻辣烫,招牌鸡排,冰糖雪梨汁,辣椒粉,炸鸡啤酒,皇家鸡排,不错，新鲜炸,打包,柠檬茶,自己带,沙姜鸡,鸡排组合,鱿鱼须,肠子,香喷喷鸡排,可口可乐,虾,蟹,烧烤鱿鱼,超大鸡排,鲜鱿鱼,珍珠奶茶,阿拉伯烤肉,杨梅汁,酸梅水,鸡肉面,大块肉,鱿鱼片,铁板烧,杨国福麻辣烫,白雪公主,果粒橙,加多宝,酸梅茶,芒果汁,小鸡排,豪大大鸡排,奥尔良鸡肉,大份鸡排,超级大鸡排,美味鸡排,爆浆鸡排,螺蛳粉,手抓饼"
乾喜烤场,自助餐,3.8,顺德,北滘,22.929954,113.205467,顺德区北滘跃进北路社保局对面,单人午餐56元，单人晚餐66元;,,0757-26677999,101977,,"菜,肥牛,水果,虾子,烤肉火锅,啤酒,烤羊肉,肉类,热菜,水果品种繁多,白贝,冰淇淋,饺子,肥牛肥羊,皮蛋瘦肉粥,拌菜,烧生蚝,薯条,小蛋糕,自制啤酒,很好很美味,罐头黄桃,扎啤,羊肉串,百叶,种类多,蛋炒饭,三文鱼寿司,小墨鱼仔,湯,刀鱼,水饺,一般,炖汤,烤扇贝,自制牛肉,蟹腿,乌鸡汤,鸡柳,多春鱼,火锅汤,冰激凌,圣女果,鸭脖子,烤鸭肾,柠檬水,草莓,柚子,烤肉,生食,晒图,菜类,鸡翅膀,螃蟹,麻辣小龙虾香辣蟹,烤肥牛羊肉,哈密瓜,鸳鸯锅底,葡萄酒,红豆奶茶,烤羊腿,炒粉丝,小吃,火锅料,这个好吃,煎饺,披萨寿司,鱼生,沙律,生菜包,豆沙月饼,骨肉相连,三文鱼刺身,沙虾,香蕉,烤鸡,涮肉,牛扒,涮肚,干煸豆角,小糕点,炒饭,小炒,糖果,飲料,烤了,炸的什么不知道没吃,烤牛排,长脚蟹脚,大虾,牙签肉,可乐雪碧,双皮奶,秘制牛肉,猪腰,亲亲肠,虾滑,长脚蟹,烤黃鱼,炒鸡,炒花甲,肥羊卷,奶酪蛋糕,牛肉羊肉,龙虾,橙汁,涮菜,羊肉片,空空的～,带子,水果捞,冷饮,猕猴桃,煮水饺,烤鸡翅,水煮牛肉,烤串,奶昔,腌肉,煲汤,甜筒,三文魚,肉丸,三文鱼刺身寿司,蛋花汤,烤鱼,涮锅,辣汤,炖汤面,前菜,黑椒,粉丝扇贝,牛腩面,希鲮鱼,水果罐头,上汤豆苗,黄桃,雪花啤酒,热狗,自酿啤酒,豆腐煲,瓶装可乐,玉米粥,花蟹,粽子,麻辣锅,长脚蟹鱼生,西瓜汁,小笼汤包,味碟,八爪鱼,汉堡,糯米团,生鱼片,扒类,鸭爪,木瓜,雪糕沙拉,贝壳,烤肉串"
More Tea多茶(三水店),奶茶/果汁,4.3,三水,三水广场,23.171921,112.892492,三水区德兴路三水广场二期1662铺（万宁对面）,9.9元雪糯米奶茶，12.8元MO酪茶6选1，16.8元超大杯招牌水果茶;,周一至周日 10:00-23:00,0757-87777189/18126671228,92775,,"芒果,变态芒果,雪花糯米茶,超大水果茶,茶,水果茶霸王餐,霸王杯"
人山人海国际美食会(家天下广场店),自助餐,3,南海,南海万科广场,23.041285,113.154229,南海区桂澜路桂城家天下广场B座（近雷岗地铁站、南海汽车站、千灯湖、城市广场）,单人午餐88元起;,周一至周日 11:30-14:00 17:30-21:00,0757-86322288,90796,环境“OK”，装修“豪华”，不过桌椅摆放“太密”，感觉进出“不太方便”。“自助”食物倒是挽回不少分数——品种“够丰富”，有日本刺身啦，泰式料理啦，烧烤啦，铁板系列啦，水果啦……看起来都“蛮新鲜”，味道也“不错”。用餐时间食客“挺多”，放眼一看，还真是“人山人海”。 小贴士：高档点的食物需凭优质兑换。,"三文鱼,木瓜炖雪蛤,木瓜雪铪,椰子炖鳄鱼肉,刺身,木瓜雪蛤,碳烤生蚝,北极贝,生蚝,三文鱼刺身,咖喱蟹,铁板烧烤,冻虾,三文鱼腩,炭烧生蚝,榴莲布丁,大闸蟹,海叁,生蚝刺身,鱼翅羹,酥皮三文鱼汤,椰子炖鳄鱼,鲍汁鹅掌,鱼翅汤,鱼生,佛跳墙炖汤,煎牛排,铁板鳕鱼,芝士蟹宝,芝士焗龙虾,牛扒,烤羊肉串,榴莲慕斯,烤茄子,炭烧茄子,蓝山咖啡,桃汁,墨鱼仔,芒果慕斯,鸡扒,虾肠,铁板牛仔骨,巧克力瀑布,柠檬汁,小点心,三文鱼寿司,白灼菜心,炒花蟹,龙虾酥皮,特色海鲜,龙虾汤,烧腊类,陈皮牛肉,生日蛋糕,羊扒,小龙虾,芝士焗蟹盖,鳗鱼饭,烧肉,牛肉丸,水果沙律,八爪鱼,虾饺,鸡脚,巧克力慕斯蛋糕,绿茶蛋糕,黑森林蛋糕,带子,木瓜盅,文鱼木瓜炖雪蛤,佛跳墙木瓜雪蛤,冰激凌,蒜香生蚝,雪蛤木瓜,芬达,果汁,深井烧鹅,花甲,牛柳,虾子,煎饼,印度薄饼,罗氏虾,火腿肠,蛋挞,酥皮汤,巧克力泡芙,炸鸡排,蓝莓汁,肠粉,烧蚝,鲍汁扣鹅掌,烤玉米,烤牛肉,叉烧,嘉士伯啤酒,奶昔,炒饭,面包,花茶,北京烤鸭,西瓜,花螺,通菜,大虾,煎蛋,巴西烤肉,饺子,肉丸,鲍鱼鱼翅汤,三文鱼排,燕窝"
